ID;Description;BeginDate;EndDate;BookingFee;TotalPrice;Currency_code;Status_code;Agency_ID;Customer_ID
51;Wine tour to Edinburgh;2027-02-20;2027-03-02;40.00;1402.00;GBP;A;11;45
52;Beach holiday to Zurich;2027-01-14;2027-01-24;0.00;1698.00;CHF;O;8;6
53;Culture weekend to Paris;2027-01-14;2027-01-22;25.00;792.00;EUR;A;15;54
54;Ski trip to Marseille;2026-11-21;2026-12-08;40.00;816.00;EUR;O;16;44
55;Wellness retreat to Madrid;2027-02-07;2027-02-11;0.00;1601.00;EUR;A;20;5
56;Island hopping to London;2026-11-21;2026-12-08;60.00;2947.00;GBP;A;10;46
57;Wine tour to Geneva;2026-12-17;2026-12-23;60.00;1124.00;CHF;A;9;1
58;Island hopping to Marseille;2027-01-20;2027-01-24;60.00;1322.00;EUR;O;16;22
59;Wine tour to Geneva;2027-03-25;2027-04-12;0.00;2490.00;CHF;O;9;50
60;Culture weekend to New York;2026-09-27;2026-10-12;40.00;1129.00;USD;O;12;21
61;Ski trip to Chicago;2027-01-22;2027-02-09;0.00;2780.00;USD;X;14;8
62;City break to Paris;2026-10-12;2026-10-22;0.00;1985.00;EUR;O;15;28
63;Family holiday to New York;2026-10-04;2026-10-07;40.00;2497.00;USD;A;12;58
64;Wine tour to Zurich;2026-12-17;2026-12-30;25.00;1149.00;CHF;A;8;32
65;Beach holiday to Linz;2027-03-04;2027-03-18;40.00;1411.00;EUR;O;3;18
66;Hiking tour to Paris;2027-03-21;2027-03-30;25.00;2215.00;EUR;A;15;43
67;Business trip to Marseille;2026-09-15;2026-10-01;0.00;891.00;EUR;O;16;44
68;Family holiday to Rome;2026-09-18;2026-10-08;60.00;1032.00;EUR;A;17;53
69;Culture weekend to Marseille;2027-02-19;2027-02-23;25.00;732.00;EUR;O;16;44
70;Wine tour to Paris;2026-09-23;2026-10-13;25.00;1044.00;EUR;O;15;54
71;Island hopping to Linz;2027-02-09;2027-02-26;60.00;538.00;EUR;A;3;34
72;Wine tour to London;2026-12-05;2026-12-18;0.00;2907.00;GBP;O;10;46
73;Culture weekend to San Francisco;2026-10-20;2026-11-08;40.00;3335.00;USD;A;13;49
74;Culture weekend to Berlin;2027-02-04;2027-02-24;25.00;1202.00;EUR;O;4;24
75;Wellness retreat to Barcelona;2027-02-19;2027-03-04;25.00;811.00;EUR;A;19;55
76;City break to Barcelona;2026-11-13;2026-11-23;40.00;1641.00;EUR;O;19;55
77;City break to Barcelona;2026-11-15;2026-11-20;0.00;1423.00;EUR;A;19;33
78;Hiking tour to Zurich;2026-12-19;2026-12-27;25.00;1121.00;CHF;A;8;35
79;Hiking tour to San Francisco;2027-03-30;2027-04-17;40.00;948.00;USD;A;13;12
80;City break to Chicago;2027-03-10;2027-03-12;0.00;902.00;USD;O;14;29
81;Culture weekend to Venice;2027-02-08;2027-02-24;0.00;1599.00;EUR;O;18;52
82;City break to Linz;2026-11-06;2026-11-08;25.00;2486.00;EUR;O;3;42
83;Ski trip to Innsbruck;2026-11-06;2026-11-12;60.00;1537.00;EUR;O;1;33
84;Family holiday to Rome;2027-02-06;2027-02-23;60.00;1445.00;EUR;A;17;37
85;Business trip to Rome;2026-12-03;2026-12-10;60.00;1598.00;EUR;A;17;23
86;Wellness retreat to New York;2026-10-12;2026-10-28;40.00;1300.00;USD;O;12;45
87;Family holiday to Chicago;2026-10-06;2026-10-22;0.00;1308.00;USD;A;14;4
88;City break to London;2027-01-28;2027-02-12;25.00;3812.00;GBP;O;10;44
89;Family holiday to Zurich;2027-03-07;2027-03-17;60.00;2356.00;CHF;O;8;32
90;Wellness retreat to Chicago;2026-10-28;2026-11-02;40.00;3864.00;USD;O;14;39
91;City break to Barcelona;2026-12-18;2026-12-24;25.00;1811.00;EUR;O;19;4
92;Family holiday to New York;2026-10-16;2026-10-25;60.00;423.00;USD;O;12;20
93;City break to Edinburgh;2026-09-20;2026-09-30;25.00;510.00;GBP;A;11;45
94;Beach holiday to Rome;2027-02-16;2027-03-03;25.00;1987.00;EUR;O;17;53
95;Island hopping to Marseille;2026-10-28;2026-11-05;60.00;1748.00;EUR;X;16;31
96;Family holiday to Edinburgh;2026-11-19;2026-11-30;25.00;1179.00;GBP;O;11;12
97;Island hopping to Barcelona;2026-11-23;2026-12-13;0.00;2978.00;EUR;A;19;2
98;Wellness retreat to Barcelona;2026-11-19;2026-12-05;40.00;1133.00;EUR;A;19;43
99;Business trip to Edinburgh;2026-09-16;2026-09-27;60.00;1222.00;GBP;X;11;45
100;Business trip to Barcelona;2027-01-22;2027-01-28;0.00;584.00;EUR;O;19;48
101;Hiking tour to Zurich;2026-11-11;2026-11-27;0.00;2963.00;CHF;A;8;3
102;City break to Marseille;2026-10-26;2026-11-13;0.00;2587.00;EUR;X;16;44
103;Island hopping to Innsbruck;2026-11-19;2026-12-04;0.00;1504.00;EUR;A;1;27
104;Island hopping to Barcelona;2026-10-06;2026-10-27;0.00;701.00;EUR;A;19;35
105;Family holiday to Hamburg;2027-03-22;2027-03-27;25.00;2229.00;EUR;A;6;56
106;Business trip to Edinburgh;2027-01-15;2027-01-22;25.00;1378.00;GBP;A;11;10
107;Culture weekend to Edinburgh;2026-10-07;2026-10-23;25.00;739.00;GBP;O;11;12
108;Ski trip to Venice;2026-12-22;2026-12-27;25.00;901.00;EUR;X;18;44
109;Wellness retreat to Paris;2027-01-14;2027-01-24;60.00;545.00;EUR;O;15;28
110;Hiking tour to Geneva;2026-11-07;2026-11-23;60.00;2138.00;CHF;O;9;15
111;Culture weekend to Marseille;2027-02-06;2027-02-23;60.00;2728.00;EUR;A;16;41
112;Business trip to San Francisco;2027-03-12;2027-03-27;40.00;2094.00;USD;X;13;49
113;Business trip to New York;2027-01-28;2027-02-11;60.00;543.00;USD;A;12;58
114;Business trip to Marseille;2027-02-09;2027-02-16;60.00;1418.00;EUR;O;16;7
115;Island hopping to Paris;2027-03-21;2027-04-10;40.00;1766.00;EUR;A;15;54
116;Wine tour to Paris;2027-02-09;2027-02-27;25.00;2432.00;EUR;A;15;28
117;Hiking tour to Paris;2026-11-16;2026-11-20;25.00;1654.00;EUR;O;15;57
118;Business trip to Zurich;2026-12-20;2027-01-02;0.00;1260.00;CHF;X;8;40
119;Family holiday to Geneva;2026-10-26;2026-11-09;40.00;2138.00;CHF;A;9;15
120;Culture weekend to Hamburg;2026-12-09;2026-12-23;60.00;334.00;EUR;O;6;56
121;Wine tour to Paris;2027-03-30;2027-04-02;0.00;1853.00;EUR;A;15;28
122;Wellness retreat to Rome;2026-12-19;2026-12-23;0.00;2369.00;EUR;X;17;13
123;Hiking tour to Berlin;2026-12-04;2026-12-09;0.00;2149.00;EUR;O;4;51
124;Business trip to Edinburgh;2027-01-27;2027-02-05;0.00;1723.00;GBP;X;11;12
125;Island hopping to Linz;2027-04-01;2027-04-20;60.00;2321.00;EUR;A;3;42
126;Beach holiday to Hamburg;2026-11-21;2026-12-05;40.00;3702.00;EUR;O;6;56
127;Ski trip to Barcelona;2026-10-06;2026-10-08;40.00;3459.00;EUR;O;19;35
128;Island hopping to Cologne;2027-02-26;2027-03-06;0.00;665.00;EUR;A;7;59
129;City break to Marseille;2026-12-20;2026-12-31;60.00;1454.00;EUR;A;16;44
130;Wellness retreat to Venice;2026-10-23;2026-11-08;25.00;1101.00;EUR;O;18;52
131;Wellness retreat to Barcelona;2027-03-02;2027-03-13;0.00;1230.00;EUR;O;19;55
132;Ski trip to Barcelona;2027-01-15;2027-01-20;40.00;1465.00;EUR;O;19;35
133;Wine tour to London;2026-11-05;2026-11-26;0.00;2468.00;GBP;A;10;38
134;Hiking tour to London;2026-11-15;2026-11-26;40.00;1671.00;GBP;O;10;17
135;Beach holiday to Barcelona;2027-02-26;2027-03-02;0.00;1209.00;EUR;A;19;35
136;Ski trip to Edinburgh;2026-12-26;2027-01-07;60.00;3750.00;GBP;O;11;39
137;Wine tour to Linz;2026-12-30;2027-01-20;40.00;1282.00;EUR;O;3;34
138;Beach holiday to New York;2027-03-14;2027-04-02;25.00;3332.00;USD;X;12;20
139;Family holiday to Geneva;2026-09-30;2026-10-06;60.00;377.00;CHF;O;9;50
140;City break to Edinburgh;2026-09-26;2026-10-04;40.00;2178.00;GBP;O;11;39
141;Beach holiday to Barcelona;2026-12-15;2026-12-22;25.00;436.00;EUR;O;19;48
142;Business trip to Linz;2026-10-20;2026-11-10;60.00;976.00;EUR;O;3;11
143;Ski trip to Zurich;2027-02-23;2027-03-16;60.00;1986.00;CHF;O;8;3
144;City break to Madrid;2027-03-04;2027-03-19;60.00;1962.00;EUR;A;20;47
145;City break to Geneva;2027-03-01;2027-03-19;25.00;1026.00;CHF;O;9;50
146;Culture weekend to Innsbruck;2027-02-20;2027-02-28;25.00;3532.00;EUR;O;1;51
147;Wine tour to Geneva;2027-01-10;2027-01-28;25.00;1750.00;CHF;O;9;15
148;Family holiday to Berlin;2026-10-24;2026-10-31;0.00;2918.00;EUR;O;4;24
149;Wellness retreat to San Francisco;2026-11-16;2026-11-20;0.00;288.00;USD;O;13;54
150;City break to Geneva;2026-11-19;2026-11-27;60.00;2744.00;CHF;A;9;15
151;Business trip to Barcelona;2027-03-23;2027-03-25;25.00;234.00;EUR;A;19;48
152;Ski trip to Zurich;2026-09-21;2026-10-06;40.00;398.00;CHF;A;8;10
153;Wine tour to Munich;2026-10-18;2026-10-23;40.00;3209.00;EUR;X;5;40
154;Island hopping to Zurich;2026-12-07;2026-12-23;0.00;1786.00;CHF;A;8;6
155;Island hopping to Edinburgh;2026-11-15;2026-11-21;40.00;3369.00;GBP;O;11;12
156;Hiking tour to Barcelona;2027-02-07;2027-02-09;40.00;2130.00;EUR;O;19;43
157;Culture weekend to Innsbruck;2027-01-11;2027-01-28;60.00;3566.00;EUR;A;1;51
158;City break to Linz;2026-12-21;2027-01-10;40.00;1048.00;EUR;A;3;11
159;Culture weekend to Hamburg;2027-02-27;2027-03-14;40.00;2259.00;EUR;A;6;56
160;Family holiday to Venice;2026-11-03;2026-11-18;40.00;579.00;EUR;X;18;16
161;Island hopping to Barcelona;2026-10-19;2026-11-08;25.00;1397.00;EUR;O;19;43
162;Business trip to Rome;2027-03-29;2027-04-06;25.00;1265.00;EUR;O;17;37
163;Beach holiday to Barcelona;2027-03-02;2027-03-04;0.00;2286.00;EUR;O;19;14
164;Culture weekend to San Francisco;2026-12-30;2027-01-20;25.00;3942.00;USD;O;13;49
165;Family holiday to Rome;2026-12-27;2027-01-05;0.00;3199.00;EUR;A;17;53
166;Culture weekend to Rome;2027-02-02;2027-02-21;0.00;1408.00;EUR;O;17;58
167;Family holiday to Geneva;2026-12-23;2027-01-12;40.00;3157.00;CHF;O;9;15
168;Business trip to Zurich;2026-10-17;2026-11-07;60.00;1757.00;CHF;O;8;1
169;Wine tour to Barcelona;2026-10-16;2026-10-29;40.00;2669.00;EUR;O;19;29
170;City break to London;2027-02-17;2027-03-09;25.00;2217.00;GBP;O;10;31
171;Hiking tour to Geneva;2026-11-11;2026-11-22;60.00;3639.00;CHF;O;9;8
172;Wellness retreat to Paris;2027-03-11;2027-03-17;25.00;1664.00;EUR;O;15;9
173;Business trip to Marseille;2027-02-22;2027-03-05;60.00;2934.00;EUR;O;16;27
174;Ski trip to London;2026-09-26;2026-10-02;25.00;2467.00;GBP;A;10;17
175;Beach holiday to Paris;2026-09-22;2026-10-03;25.00;3202.00;EUR;A;15;28
176;Ski trip to Rome;2027-01-19;2027-02-05;40.00;1495.00;EUR;A;17;37
177;Business trip to Barcelona;2026-09-19;2026-10-08;25.00;917.00;EUR;O;19;35
178;Wine tour to London;2027-04-03;2027-04-07;0.00;2675.00;GBP;X;10;57
179;Hiking tour to Edinburgh;2027-03-14;2027-03-28;0.00;2217.00;GBP;O;11;39
180;Ski trip to Edinburgh;2027-02-16;2027-02-27;60.00;3389.00;GBP;X;11;39
181;Hiking tour to London;2026-12-04;2026-12-21;25.00;1475.00;GBP;O;10;46
182;Wine tour to Berlin;2026-11-27;2026-12-10;25.00;2900.00;EUR;A;4;24
183;Wine tour to Marseille;2027-01-16;2027-01-21;25.00;3134.00;EUR;A;16;60
184;Ski trip to Chicago;2026-10-25;2026-11-08;40.00;854.00;USD;O;14;8
185;Culture weekend to Innsbruck;2027-03-10;2027-03-17;0.00;499.00;EUR;O;1;51
186;City break to Rome;2027-03-31;2027-04-05;0.00;783.00;EUR;O;17;1
187;Hiking tour to Chicago;2026-10-13;2026-10-23;0.00;1912.00;USD;X;14;8
188;Business trip to Zurich;2027-03-13;2027-03-31;40.00;2460.00;CHF;O;8;1
189;City break to Geneva;2026-10-11;2026-10-13;40.00;2166.00;CHF;O;9;30
190;City break to Marseille;2027-02-06;2027-02-27;0.00;228.00;EUR;O;16;28
191;Business trip to Munich;2026-10-17;2026-10-19;0.00;3845.00;EUR;O;5;44
192;Wellness retreat to Linz;2026-12-25;2027-01-02;0.00;2257.00;EUR;O;3;34
193;Beach holiday to Geneva;2027-02-11;2027-03-03;0.00;586.00;CHF;A;9;15
194;Beach holiday to Rome;2026-12-17;2026-12-30;40.00;2821.00;EUR;O;17;23
195;Wellness retreat to London;2026-09-23;2026-10-14;60.00;2695.00;GBP;X;10;57
196;Ski trip to Zurich;2026-09-29;2026-10-02;60.00;2139.00;CHF;O;8;1
197;Hiking tour to Barcelona;2026-12-08;2026-12-24;25.00;826.00;EUR;A;19;4
198;Beach holiday to Edinburgh;2026-11-12;2026-11-23;40.00;1957.00;GBP;O;11;39
199;Business trip to Rome;2026-11-20;2026-12-11;25.00;1367.00;EUR;O;17;13
200;Ski trip to Madrid;2027-02-13;2027-02-20;40.00;1347.00;EUR;O;20;60
201;Wine tour to Chicago;2027-03-30;2027-04-03;0.00;1344.00;USD;A;14;8
202;City break to Barcelona;2027-01-15;2027-02-02;0.00;1903.00;EUR;O;19;29
203;Beach holiday to Marseille;2026-10-03;2026-10-23;40.00;2197.00;EUR;O;16;44
204;Ski trip to Geneva;2027-03-30;2027-04-04;40.00;1633.00;CHF;O;9;49
205;Business trip to Berlin;2027-02-25;2027-03-11;40.00;2030.00;EUR;O;4;24
206;City break to Munich;2027-02-08;2027-02-11;60.00;1000.00;EUR;X;5;40
207;Wellness retreat to Edinburgh;2026-11-10;2026-11-29;25.00;1448.00;GBP;O;11;10
208;Hiking tour to Rome;2027-03-18;2027-04-02;60.00;2991.00;EUR;O;17;53
209;Beach holiday to Barcelona;2027-01-03;2027-01-23;25.00;1609.00;EUR;O;19;29
210;Beach holiday to Barcelona;2026-10-07;2026-10-22;60.00;1525.00;EUR;A;19;29
211;Business trip to Geneva;2027-03-11;2027-03-26;25.00;841.00;CHF;A;9;15
212;Business trip to Linz;2026-12-16;2026-12-21;25.00;843.00;EUR;A;3;34
213;Wellness retreat to Paris;2027-04-01;2027-04-21;0.00;2467.00;EUR;O;15;54
214;Family holiday to Barcelona;2027-03-06;2027-03-24;0.00;2744.00;EUR;O;19;48
215;Beach holiday to Rome;2026-11-30;2026-12-10;0.00;3554.00;EUR;O;17;13
216;Wine tour to New York;2027-02-01;2027-02-07;40.00;3753.00;USD;O;12;58
217;Island hopping to Marseille;2027-01-31;2027-02-03;0.00;3096.00;EUR;O;16;44
218;City break to Marseille;2026-12-08;2026-12-14;40.00;1254.00;EUR;A;16;60
219;Wellness retreat to Marseille;2026-09-20;2026-09-30;25.00;876.00;EUR;O;16;27
220;Business trip to Barcelona;2026-10-30;2026-11-19;60.00;210.00;EUR;O;19;33
221;City break to Berlin;2026-09-20;2026-10-09;25.00;3373.00;EUR;O;4;24
222;City break to Edinburgh;2027-02-27;2027-03-11;25.00;2229.00;GBP;X;11;39
223;Family holiday to Hamburg;2027-03-17;2027-04-06;40.00;2365.00;EUR;A;6;3
224;Wine tour to New York;2027-02-09;2027-02-28;25.00;1141.00;USD;O;12;20
225;Culture weekend to Rome;2027-01-24;2027-02-12;25.00;1574.00;EUR;A;17;3
226;Beach holiday to London;2026-09-25;2026-10-06;60.00;4110.00;GBP;A;10;20
227;Family holiday to Edinburgh;2026-12-12;2026-12-22;25.00;1692.00;GBP;O;11;10
228;Family holiday to Chicago;2026-11-07;2026-11-13;40.00;2039.00;USD;A;14;9
229;Ski trip to Zurich;2027-02-27;2027-03-05;25.00;3745.00;CHF;O;8;1
230;Hiking tour to Venice;2026-09-16;2026-10-05;0.00;2247.00;EUR;A;18;16
231;City break to Paris;2026-09-17;2026-09-28;60.00;1228.00;EUR;O;15;54
232;Culture weekend to Paris;2027-03-12;2027-03-31;0.00;518.00;EUR;A;15;28
233;Ski trip to London;2026-09-16;2026-10-05;60.00;1521.00;GBP;O;10;38
234;Family holiday to Vienna;2026-10-10;2026-10-15;40.00;3119.00;EUR;A;2;3
235;Culture weekend to Marseille;2026-10-04;2026-10-06;0.00;1990.00;EUR;O;16;17
236;Culture weekend to Munich;2027-04-02;2027-04-05;25.00;1655.00;EUR;O;5;13
237;Wine tour to Paris;2027-03-17;2027-03-31;40.00;2725.00;EUR;A;15;3
238;Wine tour to Geneva;2026-10-24;2026-11-02;60.00;2721.00;CHF;O;9;15
239;Culture weekend to Marseille;2026-11-01;2026-11-22;0.00;2691.00;EUR;O;16;31
240;Island hopping to Marseille;2027-02-09;2027-02-19;25.00;2540.00;EUR;A;16;60
241;Ski trip to Vienna;2027-03-22;2027-04-04;40.00;664.00;EUR;O;2;52
242;Culture weekend to Vienna;2027-03-01;2027-03-13;60.00;4347.00;EUR;X;2;27
243;Ski trip to Paris;2027-03-20;2027-04-05;60.00;1444.00;EUR;O;15;54
244;City break to London;2026-11-23;2026-12-07;25.00;1874.00;GBP;A;10;15
245;Island hopping to Innsbruck;2026-12-31;2027-01-06;40.00;2413.00;EUR;A;1;2
246;Wellness retreat to Edinburgh;2027-02-24;2027-03-08;40.00;1440.00;GBP;O;11;45
247;Wellness retreat to Rome;2026-09-28;2026-10-06;60.00;780.00;EUR;O;17;14
248;Family holiday to Barcelona;2026-10-11;2026-10-26;60.00;3094.00;EUR;A;19;4
249;Hiking tour to Zurich;2026-10-03;2026-10-21;0.00;340.00;CHF;O;8;33
250;Hiking tour to Marseille;2027-03-20;2027-03-25;25.00;1325.00;EUR;A;16;22
251;Family holiday to Madrid;2026-11-25;2026-12-15;25.00;2867.00;EUR;O;20;47
252;Wine tour to Rome;2027-02-17;2027-03-05;25.00;2870.00;EUR;O;17;23
253;Wellness retreat to Geneva;2027-01-04;2027-01-06;0.00;2103.00;CHF;A;9;50
254;Family holiday to Hamburg;2026-12-14;2026-12-16;0.00;3881.00;EUR;X;6;19
255;Family holiday to Zurich;2027-01-25;2027-02-13;60.00;2018.00;CHF;O;8;1
256;Beach holiday to Vienna;2027-01-04;2027-01-21;25.00;1792.00;EUR;O;2;21
257;Hiking tour to Edinburgh;2026-10-12;2026-11-01;25.00;921.00;GBP;A;11;12
258;Island hopping to Linz;2026-11-29;2026-12-16;25.00;1298.00;EUR;A;3;18
259;Business trip to San Francisco;2026-12-04;2026-12-23;40.00;1432.00;USD;O;13;49
260;Island hopping to Marseille;2026-12-30;2027-01-04;40.00;4046.00;EUR;O;16;60
261;Beach holiday to Geneva;2026-09-27;2026-09-29;40.00;513.00;CHF;O;9;15
262;Hiking tour to Zurich;2027-02-27;2027-03-19;0.00;917.00;CHF;A;8;32
263;Family holiday to Madrid;2027-01-31;2027-02-08;40.00;3147.00;EUR;O;20;36
264;Ski trip to Marseille;2027-02-08;2027-02-28;0.00;2767.00;EUR;A;16;22
265;Beach holiday to San Francisco;2027-04-03;2027-04-06;60.00;2373.00;USD;O;13;49
266;Culture weekend to Paris;2026-11-17;2026-12-06;40.00;3797.00;EUR;X;15;13
267;Ski trip to Barcelona;2027-02-24;2027-03-09;60.00;2215.00;EUR;O;19;33
268;Culture weekend to Edinburgh;2027-02-25;2027-03-10;25.00;2415.00;GBP;O;11;10
269;City break to Cologne;2026-11-06;2026-11-23;25.00;1256.00;EUR;A;7;28
270;Wine tour to San Francisco;2027-03-23;2027-04-05;60.00;2933.00;USD;X;13;2
271;Culture weekend to Barcelona;2027-02-21;2027-03-05;0.00;3787.00;EUR;A;19;55
272;Hiking tour to San Francisco;2026-12-29;2027-01-13;60.00;3508.00;USD;O;13;2
273;Ski trip to Innsbruck;2027-04-02;2027-04-07;0.00;2985.00;EUR;X;1;51
274;Business trip to New York;2027-01-04;2027-01-08;0.00;2561.00;USD;O;12;20
275;Beach holiday to Barcelona;2027-02-07;2027-02-28;40.00;1123.00;EUR;O;19;48
276;Ski trip to Marseille;2027-03-13;2027-03-30;0.00;1647.00;EUR;O;16;41
277;Ski trip to Edinburgh;2026-09-29;2026-10-09;0.00;648.00;GBP;O;11;45
278;Culture weekend to San Francisco;2027-03-14;2027-03-18;40.00;1128.00;USD;X;13;9
279;Beach holiday to Edinburgh;2026-11-04;2026-11-21;60.00;2140.00;GBP;A;11;10
280;Culture weekend to Linz;2026-11-08;2026-11-23;40.00;1177.00;EUR;A;3;34
281;Ski trip to Zurich;2027-02-11;2027-02-19;60.00;2333.00;CHF;O;8;1
282;Ski trip to Rome;2027-01-29;2027-02-10;25.00;1093.00;EUR;O;17;37
283;Family holiday to Marseille;2026-09-21;2026-10-08;0.00;1220.00;EUR;A;16;53
284;City break to Barcelona;2026-11-25;2026-12-16;60.00;1244.00;EUR;O;19;43
285;City break to Geneva;2026-09-17;2026-09-23;60.00;3685.00;CHF;O;9;50
286;Hiking tour to Barcelona;2026-12-28;2026-12-30;40.00;2509.00;EUR;O;19;48
287;Beach holiday to Geneva;2026-09-29;2026-10-12;60.00;924.00;CHF;O;9;30
288;Beach holiday to Barcelona;2026-10-28;2026-11-13;0.00;1809.00;EUR;A;19;29
289;City break to Madrid;2026-10-18;2026-11-06;25.00;1332.00;EUR;X;20;41
290;Wellness retreat to Barcelona;2026-10-09;2026-10-24;0.00;148.00;EUR;O;19;33
291;Beach holiday to Linz;2026-11-15;2026-12-01;25.00;1673.00;EUR;A;3;4
292;Culture weekend to Edinburgh;2026-12-16;2026-12-25;25.00;1133.00;GBP;A;11;45
293;Island hopping to Linz;2027-02-09;2027-02-15;60.00;3701.00;EUR;O;3;34
294;Island hopping to Rome;2027-01-31;2027-02-02;25.00;1982.00;EUR;A;17;13
295;Island hopping to Zurich;2026-09-29;2026-10-12;0.00;1456.00;CHF;O;8;6
296;Wellness retreat to Hamburg;2026-12-28;2027-01-01;25.00;295.00;EUR;O;6;55
297;Wine tour to Madrid;2027-03-10;2027-03-13;25.00;1248.00;EUR;A;20;47
298;Business trip to Innsbruck;2027-01-13;2027-01-16;25.00;3732.00;EUR;O;1;22
299;Wine tour to Rome;2026-11-09;2026-11-13;40.00;974.00;EUR;A;17;53
300;Business trip to Barcelona;2027-03-06;2027-03-27;25.00;4918.00;EUR;X;19;55
